fullName,name,gene_id,summary,Protein_Domains
protein tyrosine phosphatase non-receptor type 11,PTPN11,4685,"The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. This PTP contains two tandem Src homology-2 domains, which function as phospho-tyrosine binding domains and mediate the interaction of this PTP with its substrates. This PTP is widely expressed in most tissues and plays a regulatory role in various cell signaling events that are important for a diversity of cell functions, such as mitogenic activation, metabolic control, transcription regulation, and cell migration. Mutations in this gene are a cause of Noonan syndrome as well as acute myeloid leukemia. [provided by RefSeq, Aug 2016].","['Tyrosine-specific protein phosphatase, PTPase domain', 'Tyrosine-specific protein phosphatases domain', 'Protein-tyrosine phosphatase, catalytic', 'Protein-tyrosine phosphatase, active site', 'Protein-tyrosine phosphatase-like', 'SH2 domain', 'SH2 domain superfamily', 'Protein-tyrosine phosphatase, non-receptor type-6, -11']"
protein tyrosine phosphatase non-receptor type 12,PTPN12,4686,"The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. This PTP contains a C-terminal PEST motif, which serves as a protein-protein interaction domain, and may regulate protein intracellular half-life. This PTP was found to bind and dephosphorylate the product of the oncogene c-ABL and thus may play a role in oncogenesis. This PTP was also shown to interact with, and dephosphorylate, various products related to cytoskeletal structure and cell adhesion, such as p130 (Cas), CAKbeta/PTK2B, PSTPIP1, and paxillin. This suggests it has a regulatory role in controlling cell shape and mobility. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Oct 2008].","['Tyrosine-protein phosphatase non-receptor type 12/18/22', 'Tyrosine-specific protein phosphatase, PTPase domain', 'Tyrosine-specific protein phosphatases domain', 'Protein-tyrosine phosphatase, catalytic', 'Tyrosine-protein phosphatase non-receptor type 12', 'Protein-tyrosine phosphatase, active site', 'Protein-tyrosine phosphatase-like', 'Protein-tyrosine phosphatase non-receptor type-12, catalytic domain']"
protein tyrosine phosphatase receptor type B,PTPRB,4690,"The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. This PTP contains an extracellular domain, a single transmembrane segment and one intracytoplasmic catalytic domain, thus belongs to receptor type PTP. The extracellular region of this PTP is composed of multiple fibronectin type_III repeats, which was shown to interact with neuronal receptor and cell adhesion molecules, such as contactin and tenascin C. This protein was also found to interact with sodium channels, and thus may regulate sodium channels by altering tyrosine phosphorylation status. The functions of the interaction partners of this protein implicate the roles of this PTP in cell adhesion, neurite growth, and neuronal differentiation. Alternate transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2011].","['Fibronectin type III', 'Immunoglobulin-like fold', 'Fibronectin type III superfamily', 'Ricin B, lectin domain', 'Ricin B-like lectins', 'Receptor-type Tyrosine-protein Phosphatases/Ushers', 'Tyrosine-specific protein phosphatase, PTPase domain', 'Tyrosine-specific protein phosphatases domain', 'Protein-tyrosine phosphatase, catalytic', 'Protein-tyrosine phosphatase, active site', 'Protein-tyrosine phosphatase-like', 'PTPRJ, transmembrane domain']"
protein tyrosine phosphatase receptor type D,PTPRD,4692,"The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. This PTP contains an extracellular region, a single transmembrane segment and two tandem intracytoplasmic catalytic domains, and thus represents a receptor-type PTP. The extracellular region of this protein is composed of three Ig-like and eight fibronectin type III-like domains. Studies of the similar genes in chicken and fly suggest the role of this PTP is in promoting neurite growth, and regulating neurons axon guidance. Multiple alternatively spliced transcript variants of this gene have been reported. A related pseudogene has been identified on chromosome 5. [provided by RefSeq, Jan 2010].","['Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin I-set', 'Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily', 'Tyrosine-specific protein phosphatase, PTPase domain', 'Tyrosine-specific protein phosphatases domain', 'Protein-tyrosine phosphatase, catalytic', 'Fibronectin type III', 'Protein-tyrosine phosphatase, active site', 'Protein-tyrosine phosphatase-like', 'Fibronectin type III superfamily', 'Receptor-type tyrosine-protein phosphatase delta, PTPase domain, repeat 1', 'Receptor-type Tyrosine-protein Phosphatases/Ushers']"
protein tyrosine phosphatase receptor type F,PTPRF,4695,"The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. This PTP possesses an extracellular region, a single transmembrane region, and two tandem intracytoplasmic catalytic domains, and thus represents a receptor-type PTP. The extracellular region contains three Ig-like domains, and nine non-Ig like domains similar to that of neural-cell adhesion molecule. This PTP was shown to function in the regulation of epithelial cell-cell contacts at adherents junctions, as well as in the control of beta-catenin signaling. An increased expression level of this protein was found in the insulin-responsive tissue of obese, insulin-resistant individuals, and may contribute to the pathogenesis of insulin resistance. Two alternatively spliced transcript variants of this gene, which encode distinct proteins, have been reported. [provided by RefSeq, Jul 2008].","['Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin I-set', 'Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily', 'Cell Adhesion and Cytoskeletal Organization', 'Tyrosine-specific protein phosphatase, PTPase domain', 'Tyrosine-specific protein phosphatases domain', 'Protein-tyrosine phosphatase, catalytic', 'Fibronectin type III', 'Protein-tyrosine phosphatase, active site', 'Protein-tyrosine phosphatase-like', 'Fibronectin type III superfamily', 'Receptor-type Tyrosine-protein Phosphatases/Ushers']"
Rac family small GTPase 1,RAC1,4753,"The protein encoded by this gene is a GTPase which belongs to the RAS superfamily of small GTP-binding proteins. Members of this superfamily appear to regulate a diverse array of cellular events, including the control of cell growth, cytoskeletal reorganization, and the activation of protein kinases. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2009].","['Small GTPase', 'Small GTPase Rho', 'Small GTP-binding protein domain', 'P-loop containing nucleoside triphosphate hydrolase']"
"RAD23 homolog B, nucleotide excision repair protein",RAD23B,4760,"The protein encoded by this gene is one of two human homologs of Saccharomyces cerevisiae Rad23, a protein involved in the nucleotide excision repair (NER). This protein was found to be a component of the protein complex that specifically complements the NER defect of xeroderma pigmentosum group C (XP-c) cell extracts in vitro. This protein was also shown to interact with, and elevate the nucleotide excision activity of 3-methyladenine-DNA glycosylase (MPG), which suggested a role in DNA damage recognition in base excision repair. This protein contains an N-terminal ubiquitin-like domain, which was reported to interact with 26S proteasome, and thus this protein may be involved in the ubiquitin mediated proteolytic pathway in cells. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Sep 2011].","['UV excision repair protein Rad23', 'Heat shock chaperonin-binding', 'UBA-like superfamily', 'XPC-binding domain', 'Ubiquitin-associated domain', 'XPC-binding domain superfamily', 'RAD23A/RAD23B, UBA1 domain', 'Ubiquitin-like domain', 'Ubiquitin-like domain superfamily']"
RAD51 paralog C,RAD51C,4762,"This gene is a member of the RAD51 family. RAD51 family members are highly similar to bacterial RecA and Saccharomyces cerevisiae Rad51 and are known to be involved in the homologous recombination and repair of DNA. This protein can interact with other RAD51 paralogs and is reported to be important for Holliday junction resolution. Mutations in this gene are associated with Fanconi anemia-like syndrome. This gene is one of four localized to a region of chromosome 17q23 where amplification occurs frequently in breast tumors. Overexpression of the four genes during amplification has been observed and suggests a possible role in tumor progression. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2013].","['DNA recombination and repair protein Rad51-like, C-terminal', 'DNA recombination and repair protein RecA-like, ATP-binding domain', 'P-loop containing nucleoside triphosphate hydrolase', 'Homologous Recombination Repair Mediator', 'DNA repair Rad51/transcription factor NusA, alpha-helical', 'DNA recombination and repair protein, RecA-like']"
RAD51 paralog B,RAD51B,4763,"The protein encoded by this gene is a member of the RAD51 protein family. RAD51 family members are evolutionarily conserved proteins essential for DNA repair by homologous recombination. This protein has been shown to form a stable heterodimer with the family member RAD51C, which further interacts with the other family members, such as RAD51, XRCC2, and XRCC3. Overexpression of this gene was found to cause cell cycle G1 delay and cell apoptosis, which suggested a role of this protein in sensing DNA damage. Rearrangements between this locus and high mobility group AT-hook 2 (HMGA2, GeneID 8091) have been observed in uterine leiomyomata. [provided by RefSeq, Mar 2016].","['DNA repair protein RAD51 homologue 2', 'AAA+ ATPase domain', 'DNA recombination and repair protein Rad51-like, C-terminal', 'DNA recombination and repair protein, RecA-like', 'DNA recombination and repair protein RecA-like, ATP-binding domain', 'P-loop containing nucleoside triphosphate hydrolase']"
RAD51 paralog D,RAD51D,4765,"The protein encoded by this gene is a member of the RAD51 protein family. RAD51 family members are highly similar to bacterial RecA and Saccharomyces cerevisiae Rad51, which are known to be involved in the homologous recombination and repair of DNA. This protein forms a complex with several other members of the RAD51 family, including RAD51L1, RAD51L2, and XRCC2. The protein complex formed with this protein has been shown to catalyze homologous pairing between single- and double-stranded DNA, and is thought to play a role in the early stage of recombinational repair of DNA. Alternative splicing results in multiple transcript variants. Read-through transcription also exists between this gene and the downstream ring finger and FYVE-like domain containing 1 (RFFL) gene. [provided by RefSeq, Jan 2011].","['DNA recombination and repair protein RecA-like, ATP-binding domain', 'P-loop containing nucleoside triphosphate hydrolase', 'Homologous Recombination Repair RAD51 Paralog', 'DNA recombination and repair protein Rad51-like, C-terminal', 'DNA repair protein RAD51 homolog 4, C-terminal', 'RAD51D, N-terminal domain', 'AAA+ ATPase domain', 'DNA recombination and repair protein, RecA-like']"
"Raf-1 proto-oncogene, serine/threonine kinase",RAF1,4767,"This gene is the cellular homolog of viral raf gene (v-raf). The encoded protein is a MAP kinase kinase kinase (MAP3K), which functions downstream of the Ras family of membrane associated GTPases to which it binds directly. Once activated, the cellular RAF1 protein can phosphorylate to activate the dual specificity protein kinases MEK1 and MEK2, which in turn phosphorylate to activate the serine/threonine specific protein kinases, ERK1 and ERK2. Activated ERKs are pleiotropic effectors of cell physiology and play an important role in the control of gene expression involved in the cell division cycle, apoptosis, cell differentiation and cell migration. Mutations in this gene are associated with Noonan syndrome 5 and LEOPARD syndrome 2. [provided by RefSeq, Jul 2008].","['Protein kinase C-like, phorbol ester/diacylglycerol-binding domain', 'Raf-like Ras-binding', 'Diacylglycerol/phorbol-ester binding', 'Ubiquitin-like domain superfamily', 'C1-like domain superfamily', 'Protein kinase domain', 'Serine/threonine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'Protein kinase, ATP binding site', 'Serine/threonine-protein kinase', 'Serine/Threonine Kinases and Pseudokinases', 'Serine-threonine/tyrosine-protein kinase, catalytic domain']"
RAS p21 protein activator 1,RASA1,4791,"The protein encoded by this gene is located in the cytoplasm and is part of the GAP1 family of GTPase-activating proteins. The gene product stimulates the GTPase activity of normal RAS p21 but not its oncogenic counterpart. Acting as a suppressor of RAS function, the protein enhances the weak intrinsic GTPase activity of RAS proteins resulting in the inactive GDP-bound form of RAS, thereby allowing control of cellular proliferation and differentiation. Mutations leading to changes in the binding sites of either protein are associated with basal cell carcinomas. Mutations also have been associated with hereditary capillary malformations (CM) with or without arteriovenous malformations (AVM) and Parkes Weber syndrome. Alternative splicing results in two isoforms where the shorter isoform, lacking the N-terminal hydrophobic region but retaining the same activity, appears to be abundantly expressed in placental but not adult tissues. [provided by RefSeq, May 2012].","['C2 domain', 'SH2 domain', 'SH3 domain', 'Pleckstrin homology domain', 'Ras GTPase-activating domain', 'Rho GTPase activation protein', 'PH-like domain superfamily', 'Ras GTPase-activating protein, conserved site', 'RasGAP, SH3 domain', 'Ras GTPase-activating protein 1, C-terminal SH2 domain', 'C2 domain superfamily', 'SH3-like domain superfamily', 'SH2 domain superfamily', 'Ras GTPase-activating protein', 'Ras GTPase-activating protein 1, N-terminal SH2 domain']"
RB transcriptional corepressor 1,RB1,4795,"The protein encoded by this gene is a negative regulator of the cell cycle and was the first tumor suppressor gene found. The encoded protein also stabilizes constitutive heterochromatin to maintain the overall chromatin structure. The active, hypophosphorylated form of the protein binds transcription factor E2F1. Defects in this gene are a cause of childhood cancer retinoblastoma (RB), bladder cancer, and osteogenic sarcoma. [provided by RefSeq, Jul 2008].","['Retinoblastoma-associated protein, A-box', 'Retinoblastoma protein family', 'Cyclin-like superfamily', 'Retinoblastoma-associated protein, B-box', 'Cyclin-like domain', 'Retinoblastoma-associated protein, C-terminal', 'Retinoblastoma-associated protein, N-terminal']"
"Ras homolog, mTORC1 binding",RHEB,4868,"This gene is a member of the small GTPase superfamily and encodes a lipid-anchored, cell membrane protein with five repeats of the RAS-related GTP-binding region. This protein is vital in regulation of growth and cell cycle progression due to its role in the insulin/TOR/S6K signaling pathway. The protein has GTPase activity and shuttles between a GDP-bound form and a GTP-bound form, and farnesylation of the protein is required for this activity. Three pseudogenes have been mapped, two on chromosome 10 and one on chromosome 22. [provided by RefSeq, Jul 2008].","['Small GTPase', 'Small GTPase, Ras-type', 'P-loop containing nucleoside triphosphate hydrolase', 'Small GTP-binding protein domain']"
Ras like without CAAX 1,RIT1,4875,"This gene encodes a member of a subfamily of Ras-related GTPases. The encoded protein is involved in regulating p38 MAPK-dependent signaling cascades related to cellular stress. This protein also cooperates with nerve growth factor to promote neuronal development and regeneration. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Feb 2012].","['Small GTPase', 'Small GTP-binding protein domain', 'Small GTPase, Ras-type', 'P-loop containing nucleoside triphosphate hydrolase']"
"ROS proto-oncogene 1, receptor tyrosine kinase",ROS1,4941,"This proto-oncogene, highly-expressed in a variety of tumor cell lines, belongs to the sevenless subfamily of tyrosine kinase insulin receptor genes. The protein encoded by this gene is a type I integral membrane protein with tyrosine kinase activity. The protein may function as a growth or differentiation factor receptor. [provided by RefSeq, Jul 2008].","['LDLR class B repeat', 'Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase, receptor class II, conserved site', 'Fibronectin type III', 'Tyrosine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'Six-bladed beta-propeller, TolB-like', 'Immunoglobulin-like fold', 'Protein kinase, ATP binding site', 'Tyrosine-protein kinase, catalytic domain', 'Fibronectin type III superfamily', 'Receptor Tyrosine Kinase']"
ribosomal protein S6,RPS6,5013,"Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a cytoplasmic ribosomal protein that is a component of the 40S subunit. The protein belongs to the S6E family of ribosomal proteins. It is the major substrate of protein kinases in the ribosome, with subsets of five C-terminal serine residues phosphorylated by different protein kinases. Phosphorylation is induced by a wide range of stimuli, including growth factors, tumor-promoting agents, and mitogens. Dephosphorylation occurs at growth arrest. The protein may contribute to the control of cell growth and proliferation through the selective translation of particular classes of mRNA. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome. [provided by RefSeq, Jul 2008].","['Small ribosomal subunit protein eS6', 'Small ribosomal subunit protein eS6-like', 'Small ribosomal subunit protein eS6, conserved site']"
ribonucleotide reductase catalytic subunit M1,RRM1,5051,"This gene encodes the large and catalytic subunit of ribonucleotide reductase, an enzyme essential for the conversion of ribonucleotides into deoxyribonucleotides. A pool of available deoxyribonucleotides is important for DNA replication during S phase of the cell cycle as well as multiple DNA repair processes. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2015].","['Ribonucleotide reductase large subunit, C-terminal', 'Ribonucleotide reductase, class I, alpha subunit, C-terminal', 'Ribonucleoside-diphosphate reductase large subunit', 'ATP-cone domain', 'Ribonucleotide reductase R1 subunit, N-terminal', 'Ribonucleotide reductase large subunit, N-terminal']"
ribonucleotide reductase regulatory subunit M2,RRM2,5052,"This gene encodes one of two non-identical subunits for ribonucleotide reductase. This reductase catalyzes the formation of deoxyribonucleotides from ribonucleotides. Synthesis of the encoded protein (M2) is regulated in a cell-cycle dependent fashion. Transcription from this gene can initiate from alternative promoters, which results in two isoforms that differ in the lengths of their N-termini. Related pseudogenes have been identified on chromosomes 1 and X. [provided by RefSeq, Sep 2009].","['Ribonucleotide reductase small subunit family', 'Ferritin-like superfamily', 'Ribonucleotide reductase-like', 'Ribonucleotide reductase small subunit, acitve site', 'Ribonucleotide reductase small subunit']"
S100 calcium binding protein B,S100B,5087,"The protein encoded by this gene is a member of the S100 family of proteins containing 2 EF-hand calcium-binding motifs. S100 proteins are localized in the cytoplasm and/or nucleus of a wide range of cells, and involved in the regulation of a number of cellular processes such as cell cycle progression and differentiation. S100 genes include at least 13 members which are located as a cluster on chromosome 1q21; however, this gene is located at 21q22.3. This protein may function in Neurite extension, proliferation of melanoma cells, stimulation of Ca2+ fluxes, inhibition of PKC-mediated phosphorylation, astrocytosis and axonal proliferation, and inhibition of microtubule assembly. Chromosomal rearrangements and altered expression of this gene have been implicated in several neurological, neoplastic, and other types of diseases, including Alzheimer's disease, Down's syndrome, epilepsy, amyotrophic lateral sclerosis, melanoma, and type I diabetes. [provided by RefSeq, Jul 2008].","['S100/Calcium binding protein 7/8-like, conserved site', 'EF-hand domain', 'EF-hand domain pair', 'S100/CaBP-9k-type, calcium binding, subdomain', 'EF-Hand 1, calcium-binding site', 'Protein S100-B']"
ataxin 7,ATXN7,5112,"The autosomal dominant cerebellar ataxias (ADCA) are a heterogeneous group of neurodegenerative disorders characterized by progressive degeneration of the cerebellum, brain stem and spinal cord. Clinically, ADCA has been divided into three groups: ADCA types I-III. ADCAI is genetically heterogeneous, with five genetic loci, designated spinocerebellar ataxia (SCA) 1, 2, 3, 4 and 6, being assigned to five different chromosomes. ADCAII, which always presents with retinal degeneration (SCA7), and ADCAIII often referred to as the 'pure' cerebellar syndrome (SCA5), are most likely homogeneous disorders. Several SCA genes have been cloned and shown to contain CAG repeats in their coding regions. ADCA is caused by the expansion of the CAG repeats, producing an elongated polyglutamine tract in the corresponding protein. The expanded repeats are variable in size and unstable, usually increasing in size when transmitted to successive generations. This locus has been mapped to chromosome 3, and it has been determined that the diseased allele associated with spinocerebellar ataxia-7 contains 37-306 CAG repeats (near the N-terminus), compared to 4-35 in the normal allele. The encoded protein is a component of the SPT3/TAF9/GCN5 acetyltransferase (STAGA) and TBP-free TAF-containing (TFTC) chromatin remodeling complexes, and it thus plays a role in transcriptional regulation. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2016].","['SCA7 domain', 'Ataxin-7-like transcription regulator']"
sodium voltage-gated channel alpha subunit 8,SCN8A,5128,"This gene encodes a member of the sodium channel alpha subunit gene family. The encoded protein forms the ion pore region of the voltage-gated sodium channel. This protein is essential for the rapid membrane depolarization that occurs during the formation of the action potential in excitable neurons. Mutations in this gene are associated with cognitive disability, pancerebellar atrophy and ataxia. Alternate splicing results in multiple transcript variants.[provided by RefSeq, May 2010].","['IQ motif, EF-hand binding site', 'Voltage gated sodium channel, alpha subunit', 'Ion transport domain', 'Voltage gated sodium channel, alpha-8 subunit', 'Sodium ion transport-associated domain', 'Voltage-gated Na+ ion channel, cytoplasmic domain', 'Voltage-dependent channel domain superfamily', 'Voltage-gated cation channel calcium and sodium', 'Voltage-gated sodium channel alpha subunit, inactivation gate']"
C-X3-C motif chemokine ligand 1,CX3CL1,5167,"This gene belongs to the CX3C subgroup of chemokines, characterized by the number of amino acids located between the conserved cysteine residues. This is the only member of the CX3C subgroup, which contains three amino acids between cysteine residues, resulting in a Cys-X-X-X-Cys configuration. The encoded protein contains an extended mucin-like stalk with a chemokine domain on top, and exists in both a membrane-anchored form where it acts as a binding molecule, or, in soluble form, as a chemotactic cytokine. The mature form of this protein can be cleaved at the cell surface, yielding different soluble forms that can interact with the G-protein coupled receptor, C-X3-C motif chemokine receptor 1 gene product. This gene plays a role in a wide range of diseases, including cancer, vasculitis, neuropathies, atherosclerosis, inflammatory diseases, and in human immunodeficiency virus infections. [provided by RefSeq, Sep 2017].","['Chemokine interleukin-8-like domain', 'Chemokine interleukin-8-like superfamily', 'Chemokine beta/gamma/delta', 'CX3C chemokine domain']"
succinate dehydrogenase complex flavoprotein subunit A,SDHA,5176,"This gene encodes a major catalytic subunit of succinate-ubiquinone oxidoreductase, a complex of the mitochondrial respiratory chain. The complex is composed of four nuclear-encoded subunits and is localized in the mitochondrial inner membrane. Mutations in this gene have been associated with a form of mitochondrial respiratory chain deficiency known as Leigh Syndrome. A pseudogene has been identified on chromosome 3q29. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2014].","['Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal', 'FAD-dependent oxidoreductase SdhA/FrdA/AprA', 'Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal domain superfamily', 'FAD/NAD(P)-binding domain superfamily', 'Fumarate reductase/succinate dehydrogenase, FAD-binding site', 'FAD-dependent oxidoreductase 2, FAD binding domain', 'Succinate dehydrogenase, flavoprotein subunit', 'Succinate dehydrogenase/fumarate reductase, flavoprotein subunit', 'Succinate dehydrogenase/fumarate reductase flavoprotein, catalytic domain superfamily']"
succinate dehydrogenase complex iron sulfur subunit B,SDHB,5177,"This tumor suppressor gene encodes the iron-sulfur protein subunit of the succinate dehydrogenase (SDH) enzyme complex which plays a critical role in mitochondria. The SDH enzyme complex is composed of four nuclear-encoded subunits. This enzyme complex converts succinate to fumarate which releases electrons as part of the citric acid cycle, and the enzyme complex additionally provides an attachment site for released electrons to be transferred to the oxidative phosphorylation pathway. The SDH enzyme complex plays a role in oxygen-related gene regulation through its conversion of succinate, which is an oxygen sensor that stabilizes the hypoxia-inducible factor 1 (HIF1) transcription factor. Sporadic and familial mutations in this gene result in paragangliomas, pheochromocytoma, and gastrointestinal stromal tumors, supporting a link between mitochondrial dysfunction and tumorigenesis. Mutations in this gene are also implicated in nuclear type 4 mitochondrial complex II deficiency. [provided by RefSeq, Jun 2022].","['2Fe-2S ferredoxin-type iron-sulfur binding domain', 'Succinate dehydrogenase/fumarate reductase iron-sulphur protein', '2Fe-2S ferredoxin, iron-sulphur binding site', 'Alpha-helical ferredoxin', 'Beta-grasp domain superfamily', '4Fe-4S ferredoxin-type, iron-sulphur binding domain', '4Fe-4S ferredoxin, iron-sulphur binding, conserved site', 'Succinate dehydogenase/fumarate reductase N-terminal', '2Fe-2S ferredoxin-like superfamily', 'Succinate Dehydrogenase/Fumarate Reductase Iron-Sulfur']"
mitogen-activated protein kinase kinase 4,MAP2K4,5200,"This gene encodes a member of the mitogen-activated protein kinase (MAPK) family. Members of this family act as an integration point for multiple biochemical signals and are involved in a wide variety of cellular processes such as proliferation, differentiation, transcription regulation, and development. They form a three-tiered signaling module composed of MAPKKKs, MAPKKs, and MAPKs. This protein is phosphorylated at serine and threonine residues by MAPKKKs and subsequently phosphorylates downstream MAPK targets at threonine and tyrosine residues. A similar protein in mouse has been reported to play a role in liver organogenesis. A pseudogene of this gene is located on the long arm of chromosome X. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2013].","['Protein kinase domain', 'Serine/threonine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'Protein kinase, ATP binding site']"
serine and arginine rich splicing factor 2,SRSF2,5210,"The protein encoded by this gene is a member of the serine/arginine (SR)-rich family of pre-mRNA splicing factors, which constitute part of the spliceosome. Each of these factors contains an RNA recognition motif (RRM) for binding RNA and an RS domain for binding other proteins. The RS domain is rich in serine and arginine residues and facilitates interaction between different SR splicing factors. In addition to being critical for mRNA splicing, the SR proteins have also been shown to be involved in mRNA export from the nucleus and in translation. Two transcript variants encoding the same protein and one non-coding transcript variant have been found for this gene. In addition, a pseudogene of this gene has been found on chromosome 11. [provided by RefSeq, Sep 2010].","['RNA recognition motif domain', 'RNA recognition motif domain, eukaryote', 'Nucleotide-binding alpha-beta plait domain superfamily', 'RNA-binding domain superfamily', 'RNA-binding motif', 'RNA-binding and splicing regulatory protein']"
serum/glucocorticoid regulated kinase 1,SGK1,5225,"This gene encodes a serine/threonine protein kinase that plays an important role in cellular stress response. This kinase activates certain potassium, sodium, and chloride channels, suggesting an involvement in the regulation of processes such as cell survival, neuronal excitability, and renal sodium excretion. High levels of expression of this gene may contribute to conditions such as hypertension and diabetic nephropathy. Several alternatively spliced transcript variants encoding different isoforms have been noted for this gene. [provided by RefSeq, Jan 2009].","['Phox homology', 'PX domain superfamily', 'Protein kinase domain', 'AGC-kinase, C-terminal', 'Serine/threonine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'Protein kinase, ATP binding site', 'Protein kinase, C-terminal']"
"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",SMARCA2,5354,"The protein encoded by this gene is a member of the SWI/SNF family of proteins and is highly similar to the brahma protein of Drosophila. Members of this family have helicase and ATPase activities and are thought to regulate transcription of certain genes by altering the chromatin structure around those genes. The encoded protein is part of the large ATP-dependent chromatin remodeling complex SNF/SWI, which is required for transcriptional activation of genes normally repressed by chromatin. Alternatively spliced transcript variants encoding different isoforms have been found for this gene, which contains a trinucleotide repeat (CAG) length polymorphism. [provided by RefSeq, Jan 2014].","['Bromodomain', 'Bromodomain, conserved site', 'Bromodomain-like superfamily', 'Remodelling complex subunit Rsc/polybromo', 'Snf2, ATP coupling domain', 'P-loop containing nucleoside triphosphate hydrolase', 'SNF2, N-terminal', 'Helicase superfamily 1/2, ATP-binding domain', 'SNF2-like, N-terminal domain superfamily', 'Helicase, C-terminal domain-like', 'Helicase/SANT-associated domain', 'SNF2/RAD5-like, C-terminal helicase domain', 'BRK domain', 'Glutamine-Leucine-Glutamine, QLQ', 'BRK domain superfamily']"
"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1",SMARCB1,5356,"The protein encoded by this gene is part of a complex that relieves repressive chromatin structures, allowing the transcriptional machinery to access its targets more effectively. The encoded nuclear protein may also bind to and enhance the DNA joining activity of HIV-1 integrase. This gene has been found to be a tumor suppressor, and mutations in it have been associated with malignant rhabdoid tumors. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Dec 2015].","['SWI/SNF Subunit INI1, DNA binding domain', 'SNF5/SMARCB1/INI1', 'Chromatin-remodeling complex component Sfh1/SNF5']"
"smoothened, frizzled class receptor",SMO,5365,"The protein encoded by this gene is a G protein-coupled receptor that interacts with the patched protein, a receptor for hedgehog proteins. The encoded protein tranduces signals to other proteins after activation by a hedgehog protein/patched protein complex. [provided by RefSeq, Jul 2010].","['Frizzled/Smoothened, 7TM', 'Frizzled/secreted frizzled-related protein', 'GPCR, family 2-like, 7TM', 'Frizzled domain', 'Smoothened, 7TM', 'Frizzled cysteine-rich domain superfamily', 'Smoothened, cysteine-rich domain']"
SOS Ras/Rac guanine nucleotide exchange factor 1,SOS1,5409,"This gene encodes a protein that is a guanine nucleotide exchange factor for RAS proteins, membrane proteins that bind guanine nucleotides and participate in signal transduction pathways. GTP binding activates and GTP hydrolysis inactivates RAS proteins. The product of this gene may regulate RAS proteins by facilitating the exchange of GTP for GDP. Mutations in this gene are associated with gingival fibromatosis 1 and Noonan syndrome type 4. [provided by RefSeq, Jul 2008].","['Histone-fold', 'Dbl homology (DH) domain', 'Ras-like guanine nucleotide exchange factor, N-terminal', 'Pleckstrin homology domain', 'Ras guanine-nucleotide exchange factors catalytic domain', 'Ras-like guanine nucleotide exchange factor', 'PH-like domain superfamily', 'Ras guanine-nucleotide exchange factor, conserved site', 'Ras guanine nucleotide exchange factor domain superfamily', 'Dbl homology (DH) domain superfamily', 'Ras guanine-nucleotide exchange factor, catalytic domain superfamily']"
